"","parameterset_00000001","parameterset_00000002","parameterset_00000005","parameterset_00000006","parameterset_00000007","parameterset_00000008","parameterset_00000009","parameterset_00000010","parameterset_00000013","parameterset_00000014","parameterset_00000015","parameterset_00000016","parameterset_00000041","parameterset_00000042","parameterset_00000045","parameterset_00000046","parameterset_00000047","parameterset_00000048"
"1",2,3,1,1,1,1,1,3,1,1,1,1,2,3,1,1,1,1
"2",2,3,0,0,0,0,1,3,1,1,1,1,2,3,1,1,1,1
"3",2,3,0,0,2,0,1,3,1,1,1,1,2,3,1,1,1,1
"4",2,3,1,1,1,1,1,3,1,1,1,1,2,3,2,0,1,1
"5",2,2,0,0,3,0,2,2,2,2,2,2,2,2,3,2,2,2
"6",2,3,1,1,1,1,1,3,0,0,0,0,2,3,2,0,1,1
"7",2,3,0,0,2,0,1,3,1,1,1,1,2,3,1,1,1,1
"8",2,3,0,0,4,2,1,3,1,1,1,1,2,3,1,1,1,1
"9",2,3,0,0,0,0,1,3,0,0,0,0,2,3,1,1,1,1
"10",2,3,2,2,4,2,1,3,1,1,1,1,2,3,1,1,1,1
"11",2,2,0,0,0,0,2,2,2,2,2,2,2,2,3,2,2,2
"12",2,3,2,2,4,2,1,3,1,1,1,1,2,3,1,1,1,1
"13",2,3,2,2,4,2,1,3,1,1,1,1,2,3,1,1,1,1
"14",2,3,2,2,4,2,1,3,1,1,1,1,2,2,3,2,2,2
"15",2,2,0,0,3,0,2,2,2,2,2,2,2,2,3,2,2,2
"16",1,1,0,0,5,3,1,1,3,0,3,3,1,1,0,0,3,4
"17",1,1,3,0,6,0,1,1,4,3,4,4,1,1,4,5,4,3
"18",1,1,0,0,0,0,2,2,0,0,0,0,1,1,5,3,3,4
"19",1,1,0,0,0,0,1,1,0,0,0,0,1,1,4,5,4,3
"20",1,2,4,0,7,0,2,2,5,0,5,0,1,1,5,3,3,4
"21",1,1,0,0,0,0,1,1,6,4,6,5,1,1,6,4,5,5
"22",1,2,4,0,7,0,2,2,5,0,5,0,1,1,5,3,3,4
"23",1,1,5,0,8,0,1,1,6,4,6,5,1,1,6,4,5,5
"24",1,1,0,0,0,0,2,2,0,0,0,0,1,1,5,3,3,4
"25",1,1,6,0,5,3,1,1,4,3,4,4,1,1,6,4,5,5
"26",1,1,6,0,5,3,1,1,4,3,4,4,1,1,5,3,3,4
"27",1,1,3,0,6,0,1,1,3,0,3,3,1,1,6,4,5,5
"28",1,1,0,0,0,0,1,1,7,0,3,3,1,1,5,3,3,4
"29",1,1,5,0,8,0,1,1,6,4,6,5,1,1,6,4,5,5
"30",1,1,0,0,0,0,1,1,7,0,3,3,1,1,4,5,4,3
