"","parameterset_00000001","parameterset_00000002","parameterset_00000003","parameterset_00000004","parameterset_00000005","parameterset_00000006","parameterset_00000008","parameterset_00000009","parameterset_00000010","parameterset_00000011","parameterset_00000012","parameterset_00000013","parameterset_00000014","parameterset_00000015","parameterset_00000016","parameterset_00000017","parameterset_00000019","parameterset_00000020","parameterset_00000021","parameterset_00000022","parameterset_00000023","parameterset_00000024","parameterset_00000025","parameterset_00000026","parameterset_00000027","parameterset_00000028","parameterset_00000030","parameterset_00000031","parameterset_00000032","parameterset_00000033","parameterset_00000034","parameterset_00000035","parameterset_00000036","parameterset_00000037","parameterset_00000038","parameterset_00000039","parameterset_00000041","parameterset_00000042","parameterset_00000043","parameterset_00000044","parameterset_00000045","parameterset_00000046","parameterset_00000047","parameterset_00000048","parameterset_00000049","parameterset_00000050","parameterset_00000052","parameterset_00000053","parameterset_00000054","parameterset_00000055","parameterset_00000056","parameterset_00000057","parameterset_00000058","parameterset_00000059","parameterset_00000060","parameterset_00000061","parameterset_00000063","parameterset_00000064","parameterset_00000065","parameterset_00000066","parameterset_00000067","parameterset_00000068","parameterset_00000069","parameterset_00000070","parameterset_00000071","parameterset_00000072","parameterset_00000074","parameterset_00000075","parameterset_00000076","parameterset_00000077","parameterset_00000078","parameterset_00000079","parameterset_00000080","parameterset_00000081","parameterset_00000082","parameterset_00000083","parameterset_00000085","parameterset_00000086","parameterset_00000087","parameterset_00000088","parameterset_00000089","parameterset_00000090","parameterset_00000091","parameterset_00000092","parameterset_00000093","parameterset_00000094","parameterset_00000096","parameterset_00000097","parameterset_00000098","parameterset_00000099","parameterset_00000100","parameterset_00000101","parameterset_00000102","parameterset_00000103","parameterset_00000104","parameterset_00000105","parameterset_00000107","parameterset_00000108","parameterset_00000109","parameterset_00000110","parameterset_00000111","parameterset_00000112","parameterset_00000113","parameterset_00000114","parameterset_00000115","parameterset_00000116","parameterset_00000118","parameterset_00000119","parameterset_00000120","parameterset_00000121","parameterset_00000122","parameterset_00000123","parameterset_00000124","parameterset_00000125","parameterset_00000126","parameterset_00000127","parameterset_00000129","parameterset_00000130","parameterset_00000131","parameterset_00000132"
"1",2,3,"1","1","1","1",1,1,1,1,1,3,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,0,1,0,1,3,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,1,1,1,2,2,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,1,1,1
"2",2,3,"2","2","2","2",0,0,0,0,1,3,"1","1","2","2",1,1,1,1,2,3,"1","1","2","2",2,2,1,1,2,3,"1","2","2","2",2,1,2,1,1,3,"1","1","2","2",1,1,1,1,2,3,"1","1","1","1",1,1,1,1,2,2,"2","2","2","2",2,2,2,2,2,2,"1","1","2","2",1,1,1,1,2,2,"1","1","2","2",2,2,1,1,2,3,"1","1","2","2",1,1,1,1,2,3,"1","1","2","2",1,1,1,1,2,3,"1","1","2","2",1,1,1,1
"3",2,3,"1","1","3","3",0,0,2,0,1,3,"1","1","3","3",1,1,1,1,2,3,"1","1","2","2",2,2,1,1,2,3,"1","2","2","2",2,1,2,1,1,3,"1","1","2","2",1,1,1,1,2,3,"1","1","2","2",1,1,1,1,2,3,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1,2,2,"1","1","2","2",2,2,1,1,2,2,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1
"4",2,3,"1","1","1","1",1,1,1,1,1,3,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1,2,3,"1","1","1","1",1,0,1,0,1,3,"1","1","2","2",1,1,1,1,2,3,"1","1","2","2",1,1,1,1,2,3,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1,2,2,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1
"5",2,2,"1","3","4","4",0,0,3,0,2,2,"1","2","4","4",2,2,2,2,2,2,"1","2","4","4",3,3,2,2,2,2,"1","1","3","3",3,2,3,2,2,2,"1","2","3","3",2,2,2,2,2,2,"1","2","3","3",2,2,2,2,2,3,"1","1","4","4",3,0,1,1,2,3,"1","1","3","3",1,1,1,1,2,2,"1","1","2","2",2,2,1,1,2,2,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1
"6",2,3,"1","1","1","1",1,1,1,1,1,3,"1","1","5","5",0,0,0,0,2,3,"1","1","3","3",1,1,1,1,2,3,"1","2","4","4",0,0,0,0,1,3,"1","1","4","4",0,0,0,0,2,3,"1","1","4","4",0,0,1,1,2,3,"1","1","3","3",1,1,1,1,2,3,"1","1","4","4",0,0,0,0,2,3,"1","1","3","3",1,1,1,1,2,2,"1","1","4","4",0,0,0,0,2,3,"1","1","4","4",0,0,0,0,2,3,"1","1","4","4",0,0,1,1
"7",2,3,"1","1","3","3",0,0,2,0,1,3,"1","1","1","1",1,1,1,1,2,3,"1","1","5","5",2,2,1,1,2,3,"1","2","2","2",2,1,2,1,1,3,"1","1","1","1",1,1,1,1,2,3,"1","1","1","1",1,1,1,1,2,3,"1","1","4","4",3,0,1,1,2,3,"1","1","1","1",1,1,1,1,2,2,"1","1","4","4",2,2,1,1,2,2,"1","1","1","1",1,1,1,1,2,3,"1","1","5","5",1,1,1,1,2,3,"1","1","1","1",1,1,1,1
"8",2,3,"2","4","5","5",0,0,4,2,1,3,"1","1","3","3",1,1,1,1,2,2,"1","2","4","4",3,3,2,2,2,3,"1","2","2","2",2,1,2,1,1,3,"1","1","2","2",1,1,1,1,2,2,"1","2","3","3",2,2,2,2,1,1,"2","2","5","5",4,3,2,2,2,3,"1","1","5","5",1,1,1,1,2,2,"1","1","4","4",2,2,1,1,2,2,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1,2,3,"1","1","3","3",1,1,1,1
"9",2,3,"1","1","6","6",0,0,0,0,1,3,"1","1","6","6",0,0,0,0,2,3,"1","1","6","6",2,2,1,1,2,3,"1","2","5","5",0,0,2,1,1,3,"1","1","5","5",0,0,1,1,2,3,"1","1","5","5",1,1,1,1,2,3,"1","1","6","6",0,0,0,0,2,2,"1","1","6","6",0,0,0,0,2,2,"1","2","5","5",2,2,1,1,2,3,"1","1","5","5",0,0,1,1,2,3,"1","1","6","6",0,0,1,1,2,3,"1","1","5","5",1,1,1,1
"10",2,3,"2","4","5","5",2,2,4,2,1,3,"1","1","2","2",1,1,1,1,2,3,"1","1","2","2",2,2,1,1,2,3,"1","2","2","2",2,1,2,1,1,3,"1","1","2","2",1,1,1,1,2,2,"1","2","3","3",2,2,2,2,2,2,"2","2","2","2",2,2,2,2,2,2,"1","1","7","7",1,1,1,1,2,2,"1","1","2","2",2,2,1,1,2,3,"1","1","2","2",1,1,1,1,2,3,"1","1","2","2",1,1,1,1,2,3,"1","1","2","2",1,1,1,1
